,sty,lut,mar,kwi,maj,cze,lip,sie,wrz,paü,lis,gru,Year
2013,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239,10.23830239
2014,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692,12.01121692
2015,12.75192423,11.72256648,14.44530372,15.89254915,12.29530438,10.62698684,12.24354289,9.467336897,11.23462409,11.40017707,15.18551569,17.86306755,12.98495027
2016,13.92550102,17.81471021,13.05211276,13.75420738,13.16536062,11.4366906,12.17313828,11.28785279,10.33859804,14.28236414,14.7635705,16.6740777,13.64658905
2017,11.86924855,13.91310809,14.77837326,16.27284495,12.99314341,13.85188019,10.15612181,11.27991402,13.44499685,17.39068162,14.97258011,14.95335318,13.83160204
2018,16.70755225,9.685136609,11.81562922,15.99360758,11.92635241,11.09893574,9.785010791,9.754780257,11.85555272,15.11095255,12.17441683,14.67384599,12.57814608
2019,14.97352373,17.08413514,19.15543702,15.71997224,13.58299214,12.29572297,12.73253267,10.42295024,14.94898033,14.322211,16.06470984,18.88850661,15.08094523
2020,18.84231553,22.39279322,18.57680353,19.64707338,18.81618753,16.12166068,15.6715117,14.27928049,15.01408205,17.38303456,16.43236773,18.23099553,17.65929927
2021,14.22843326,15.92134901,17.94916799,19.67998809,21.10616572,15.50330093,14.01066991,16.80559308,16.22821803,20.66192454,17.04354781,16.61003041,17.10922239
2022,22.72938543,26.43916735,17.86080797,22.84755688,23.762147,21.66378065,23.21606909,18.12086287,19.08121415,22.10929541,15.6340947,19.40262139,21.03794563
2023,23.56312995,24.96051862,27.58263714,27.29408617,30.82814642,29.2914585,30.95958494,28.33294074,27.56956668,28.65857618,23.6624049,27.2410919,27.34126701
2024,27.38092108,29.36821312,26.93665598,30.66568474,,,,,,,,,28.85693122
