,Generacja ca³kowita,OZE
wêgiel kamienny,4.925520655,
wêgiel brunatny,2.57861454,
ropa,0.23779804,
gaz,1.704518753,
OZE,4.154733975,
biomasa,,0.586599775
el. wodne,,0.306401
fotowoltaika,,0.476276808
el. wiatrowe,,2.785456392
